Sl No.,Zone Name,Assembly,Ward No,Ward Name,Park Name,,Area in,Remarks,
,,Constituency,,,,,(Sq.ft),,
686,South,Basavanagudi,155,Hanumanthanagar,Swimming Pool Park,,1046,,
687,South,Padmanabhanagar,167,Yadiyuru,Laxman Rao Boulevard -A Part Park,,6194,,
,,,,,(Surana College part-1),,,,
688,South,B.T.M Layout,151,Koramangala,KORAMANAGALA PARK OPP,,245,,
,,,,,BBMP WARD OFFICE PARK,,,,
689,South,B.T.M Layout,151,Koramangala,KORMANGALA 17TH D MAIN ROAD,,792,,
,,,,,K.H.B.COLONY PARK,,,,
690,South,B.T.M Layout,151,Koramangala,KORAMANGALA 4TH BLOCK ROAD,,1010,,
,,,,,RECTANGULAR PARK,,,,
691,South,Basavanagudi,155,Hanumanthanagar,Hari Hara Gudda Park,,20136,,
692,South,Basavanagudi,155,Hanumanthanagar,Sri Ramanejeya Gudda Park,,9519,,
693,South,Basavanagudi,162,Girinagar,Swamy Vivekananda,Park,7218,,
694,South,Basavanagudi,163,Katriguppe,Mysore Mallige Park,,5478,,
695,South,Basavanagudi,163,Katriguppe,Kempegowda Layout Park,,956.28,,
696,South,Basavanagudi,164,Vidyapeetha Ward,Bhaskar Park,,887,,
697,South,Basavanagudi,164,Vidyapeetha Ward,Rock Garden Park,,1621,,
698,South,Basavanagudi,164,Vidyapeetha Ward,Soorat Ashwath Park,,1682,,
699,South,Basavanagudi,164,Vidyapeetha Ward,Kuvempu Kridangana Park,,2529.68,,
700,South,Padmanabhanagar,161,Hosakerehalli,ANJANANAGAR PARK,,784,,
701,South,Padmanabhanagar,161,Hosakerehalli,ANJANANAGAR PARK,,784,,
702,South,Padmanabhanagar,161,Hosakerehalli,"HILL VIEW APARTMET,",,470,,
,,,,,MANJUNATHA NAGAR PARK,,,,
703,South,Padmanabhanagar,165,Ganeshmandira,"BANASHANKARI 2ND STAGE,",,10985,,
,,,,Ward,BRUDAVANA PARK,,,,
704,South,Padmanabhanagar,165,Ganeshmandira,DVG PARK,,1860,,
,,,,Ward,,,,,
705,South,Padmanabhanagar,165,Ganeshmandira,BANAGIRI PARK,,7076,,
,,,,Ward,,,,,
706,South,Padmanabhanagar,161,Hosakerehalli,Nandanavana park,,3934,,
707,South,B.T.M Layout,151,Koramangala,18th Main 6th block,,5253,,
708,South,B.T.M Layout,151,Koramangala,Lakshmidevi park,7th block,9480,,
709,South,Padmanabhanagar,166,Karisandra,laxman roa,boluevaed children's ply,7155,,
,,,,,groud d part park 27th and 30th cross,,,,
,,,,,,road,,,
710,South,Padmanabhanagar,180,Banashankari,"kadirenahalli park 35th cross, ring",,2508,,
,,,,Temple Ward,,road,,,
711,South,Padmanabhanagar,161,Hosakerehalli,,Anjanapura,784,,
712,South,Padmanabhanagar,182,Padmanabhanagar,"R.K.LAYOUT, 3RD STAGE PARK",,0,,
713,South,Padmanabhanagar,182,Padmanabhanagar,BHARATH HOUSING LAYOUT,,0,,
,,,,,,PARK PART-3,,,
714,South,Padmanabhanagar,161,Hosakerehalli,Hill view aooartment,,470,,
,,,,,Manjunathnagara park,,,,
715,South,Padmanabhanagar,183,Chikkallasandra,K.S.R.T.C. LAYOUT PARK,,1641,,
716,South,Padmanabhanagar,183,Chikkallasandra,ITTAMADU MAIN ROAD PARK,,903,,
717,South,Padmanabhanagar,165,Ganeshmandira,Kuvempu park near Bsk BDA,,2988,,
,,,,Ward,,complex,,,
718,South,Padmanabhanagar,183,Chikkallasandra,ITTAMADU K.E.B. PARK,,1882,,
719,South,Padmanabhanagar,165,Ganeshmandira,Park oppo.to fire station 28th & 29th,,573,,
,,,,Ward,,main road,,,
720,South,Padmanabhanagar,183,Chikkallasandra,ITTAMADU GANAPATHI TEMPLE,,3112,,
,,,,,,PARK,,,
721,South,Padmanabhanagar,165,Ganeshmandira,park near Dhanvanthri maternity,,1945,,
,,,,Ward,"hospital,26th & 27th cross",,,,
722,South,Padmanabhanagar,165,Ganeshmandira,park near Dhanvanthri maternity,,1945,,
,,,,Ward,"hospital,26th & 27th cross",,,,
723,South,Padmanabhanagar,165,Ganeshmandira,"Dharmagiri manjunath swamy te,ple",,750,,
,,,,Ward,,park,,,
724,South,Padmanabhanagar,183,Chikkallasandra,BHUVANESHWARINAGAR PARK,,1000,,
725,South,Padmanabhanagar,183,Chikkallasandra,DENA BANK COLONY PARK,,464,,
726,South,Padmanabhanagar,166,Karisandra,lakshman rao bullevard E part,,4920,,
727,South,Padmanabhanagar,167,Yadiyuru,BASAVANGUDI CO-OPERATIVE,,1563,,
,,,,,"SOCIETY OPP PARK, JAYANAGAR,",,,,
,,,,,3RD BLOCK PARK,,,,
728,South,Padmanabhanagar,166,Karisandra,Uma maheshwari park,,2065,,
729,South,Jayanagar,170,Jayanagar East,N.A.L.LAYOUT 2ND MAIN 1ST,,421,,
,,,,,CROSS 2ND CROSS PARK,,,,
730,South,Padmanabhanagar,166,Karisandra,Yediyur maternity hospital park,,1689,,
731,South,Jayanagar,170,Jayanagar East,"N.A.L Layout, 2ND",MAIN,682,,
,,,,,CHILDREN'S PARK,,,,
732,South,Padmanabhanagar,166,Karisandra,Lakshmanraobullevard F part park,,15004,,
733,South,Jayanagar,171,Gurappanapalya,MARUTHI LAYOUT PARK,,2255,,
734,South,Padmanabhanagar,166,Karisandra,BSK bus stand near BMTC Depo,,1270,,
,,,,,,park,,,
735,South,Jayanagar,177,J.P.Nagar,J.P.NAGAR MINIFOREST PARK,,3952,,
,,,,,,PART-4,,,
736,South,Jayanagar,177,J.P.Nagar,J.P.NAGARA MINIFOREST PARK,,3990,,
,,,,,,PART-2,,,
737,South,Jayanagar,177,J.P.Nagar,J P Nagar 4th Stage mini forest,,1191,,
,,,,,,dollors colony,,,
738,South,Jayanagar,177,J.P.Nagar,J.P.NAGARA MINIFOREST PARK,,3857,,
,,,,,PART-3,,,,
739,South,Jayanagar,178,Sarakki,Dhanvanthri park,,1191,,
740,South,Jayanagar,177,J.P.Nagar,CLARENCE SCHOOL NEAR,,4000,,
,,,,,MARENAHALLI GOVERNMENT,,,,
,,,,,SCHOOL PARK,,,,
741,South,Jayanagar,178,Sarakki,J P Nagar 2nd stage Senior Citizen,,1623,,
,,,,,ward office Backside park,,,,
742,South,Jayanagar,177,J.P.Nagar,K.S.R.T.C.LAYOUT PART-1 5TH,,1641,,
,,,,,AND 6TH MAIN ROAD PARK,,,,
743,South,Jayanagar,178,Sarakki,J P Nagar 5th stage Hopcoms park,,1786,,
744,South,Jayanagar,177,J.P.Nagar,J.P.NAGAR 4TH STAGE FREEDOM,,1590,,
,,,,,PARK,,,,
745,South,Jayanagar,178,Sarakki,Park near Oxford School,,9238,,
746,South,Jayanagar,177,J.P.Nagar,J.P.NAGAR 4TH PHASE 16TH,,1436,,
,,,,,CROSS PARK,,,,
747,South,Jayanagar,178,Sarakki,JP nagar 1st stage 27th main,,2180,,
,,,,,"BWSSB,Oppo HT line park",,,,
748,South,Jayanagar,177,J.P.Nagar,J.P.NAGAR 2ND STAGE SENIOR,,1611,,
,,,,,CITIZEN PARK,,,,
749,South,Jayanagar,177,J.P.Nagar,J.P.NAGAR 8TH MAIN 1TH CROSS,,8877,,
,,,,,PARK,,,,
750,South,Jayanagar,178,Sarakki,JP nagar 1st stage KEB park near,,1091,,
,,,,,sindoor choultry.,,,,
751,South,Jayanagar,178,Sarakki,JP nagar 1st stage park Below HT,,2496,,
,,,,,line,,,,
752,South,Jayanagar,179,Shakambarinagar,JAYANAGAR 5TH BLOCK PU THI,,11946,,
,,,,,NA PARK,,,,
753,South,Jayanagar,179,Shakambarinagar,LAXMAN RAO BOULEVARD G,,5532,,
,,,,,PART PARK,,,,
754,South,Jayanagar,178,Sarakki,JP Nagar 6th stage 30th A main 17th,,3160,,
,,,,,& 17th B Cross Kaashi Vishwanath,,,,
,,,,,Temple park,,,,
755,South,Jayanagar,179,Shakambarinagar,LAXMAN RAO BOLEVARD H PART,,6451,,
,,,,,PARK,,,,
756,South,Jayanagar,178,Sarakki,JP Nagar 5th Stage,,900,,
757,South,Jayanagar,179,Shakambarinagar,LAXMAN RAO BOULEVARD I PART,,9537,,
,,,,,PARK,,,,
758,South,Jayanagar,178,Sarakki,JP nagara 1st stage Sindoor,,1752,,
,,,,,Kalyanamantapa Oppo park & vacant,,,,
,,,,,place,,,,
759,South,Jayanagar,179,Shakambarinagar,LAXMAN RAO BOLULEVARD J,,9660,,
,,,,,PART PARK,,,,
760,South,Jayanagar,178,Sarakki,J P Nagar 2nd Stage 20th Main road,,157,,
,,,,,below H T line park,,,,
761,South,Jayanagar,179,Shakambarinagar,LAXMAN RAO BOULEVARD K,,6486,,
,,,,,PART,,,,
762,South,Basavanagudi,162,Girinagar,Sir M.Visheshwaraiah Park Avalahalli,,6589.34,,
763,South,Basavanagudi,162,Girinagar,Sir M.Visheshwaraiah Park Avalahalli,,6589.34,,
764,South,Basavanagudi,162,Girinagar,Panchavati,Park,2748.9,,
765,South,Basavanagudi,162,Girinagar,Shakthi Ganapathi Park,,1360,,
766,South,Basavanagudi,162,Girinagar,80 feet MankuThimma Park,,2127,,
767,South,Basavanagudi,162,Girinagar,Dr. Muttu Raj Park (SBM Colony,2419.5,,,
,,,,,Park),,,,
768,South,Basavanagudi,162,Girinagar,80 feet MankuThimma Park,2127,,,
769,South,Basavanagudi,154,Basavanagudi,80 feet MankuThimma Park,1503.9,,,
770,South,Chickpet,142,Sunkenahalli,"Ashrama Road, 4 Parts",732.42,,,
771,South,Basavanagudi,154,Basavanagudi,C.T.BED PARK,2645,,,
772,South,Chickpet,153,Jayangar,Siddapura Childrens Park,712,,,
773,South,Chickpet,153,Jayangar,Siddapura Childrens Park,712,,,
774,South,Chickpet,153,Jayangar,Siddapura Childrens Park,712,,,
775,South,Chickpet,153,Jayangar,Siddapura Childrens Park,712,,,
776,South,Basavanagudi,164,Vidyapeetha Ward,SriKanteshwara Park,5569.76,,,
777,South,Vijaynagar,123,Vijaynagar,West of chord road Part 3 (Adi,1358.09,,,
,,,,,chunchanagiri opp),,,,
778,South,Vijaynagar,123,Vijaynagar,"West Of Chord Road, Part-4(New",1371.55,Good,,
,,,,,Sagar Hotel Opp),,,,
779,South,Vijaynagar,123,Vijaynagar,Temple park Banashankari temple,1815.83,average,,
780,South,Chickpet,153,Jayangar,Muneshwara Temple Park,1369.95,,,
781,South,Vijaynagar,123,Vijaynagar,Vidyaranya Nagar Park(Prameela,2388,good,,
,,,,,Bhai Maane School Park),,,,
782,South,Vijaynagar,123,Vijaynagar,Muneshwara temple park,2658,average,,
783,South,Vijaynagar,123,Vijaynagar,Prasanna theatre park,1225.25,Average,,
784,South,Vijaynagar,158,Deepanjali Nagar,Rastrakavi Kuvempu Rangamandira,928.2,,,
,,,,,Park,,,,
785,South,Chickpet,153,Jayangar,M.N.Krishnarao park,72000,,,
786,South,Chickpet,153,Jayangar,BHEL Layout park,1780,,,
787,South,Vijaynagar,123,Vijaynagar,WOC rd Part 2,1485.8,,,
788,South,Vijaynagar,123,Vijaynagar,JP park,4179.15,Good,,
789,South,Vijaynagar,123,Vijaynagar,Woc rd Part 1,468.25,,,
790,South,Vijaynagar,123,Vijaynagar,Vijayanagar police station and,4108.33,,,
,,,,,Ashoka Hotel Opp Boulevard park,,,,
791,South,Vijaynagar,134,Bapujinagar,"Nrupatunga park,BapujiNagar Park",1807.6,good,,
792,South,Vijaynagar,158,Deepanjali Nagar,Avalahalli 50' Road Hosakerahalli,3192.47,,,
,,,,,Main Road,,,,
793,South,Vijaynagar,157,Gali Anjaneya,Sri Balagangadaranatha Swamy Park,2034.45,,,
,,,,swamy Temple,(Telecom Layout) Park,,,,
,,,,Ward,,,,,
794,South,Vijaynagar,157,Gali Anjaneya,Avalahalli IPP Compound Park,1203,,,
,,,,swamy Temple,,,,,
,,,,Ward,,,,,
795,South,Vijaynagar,157,Gali Anjaneya,Kasturiba nagar Maternity Hospital,2265,,,
,,,,swamy Temple,,,,,
,,,,Ward,,,,,
796,South,Padmanabhanagar,181,Kumaraswamy,HOYSALA KRIDANGANA PARK,,7479,,
,,,,Layout,,,,,
797,South,Padmanabhanagar,181,Kumaraswamy,ABDULKALAM PAARK,,6351,,
,,,,Layout,,,,,
798,South,Jayanagar,168,Pattabhiramnagar,PATTABHI RAMNAGAR (G.N.R.),,4387,,
,,,,,PARK,,,,
799,South,Padmanabhanagar,181,Kumaraswamy,PUSHANJALI PARK,,4894,,
,,,,Layout,,,,,
800,South,Padmanabhanagar,181,Kumaraswamy,KUMARASWAMY LAYOUT 16TH,,7973,,
,,,,Layout,MAIN ROAD (POLICE STATION,,,,
,,,,,NEAR )PARK,,,,
801,South,Padmanabhanagar,181,Kumaraswamy,kanaka layout park,,1581,,
,,,,Layout,,,,,
802,South,Padmanabhanagar,181,Kumaraswamy,J.H.B.C.S.PARK,,6489,,
,,,,Layout,,,,,
803,South,Padmanabhanagar,181,Kumaraswamy,"KANAKA LAYOUT,2ND STAGE 4TH",,2240,,
,,,,Layout,MAIN ROAD PARK,,,,
804,South,B.T.M Layout,148,Ejipura,S.T.BED PARK,,2592,,
805,South,Vijaynagar,133,Hampinagar,maintainence of,Remco Layout (Milk,1203,,
,,,,,Diary ) Park,,,,
806,South,Jayanagar,169,Byrasandra,Jayanagar Complex Park,,773,,
807,South,Padmanabhanagar,182,Padmanabhanagar,Bharath Housing Layout Park part-2,,4481,,
,,,,,7th and 8th main road,,,,
808,South,Padmanabhanagar,182,Padmanabhanagar,Gangadareshwara swamy temple and,,5684,,
,,,,,lakshmikantha swamy gudda 10th,,,,
,,,,,and 12th main road,park,,,
809,South,Jayanagar,168,Pattabhiramnagar,"Laxman Rao Boulevard ""M"" Part Park",,10515,,
810,South,Jayanagar,168,Pattabhiramnagar,"Jayanagar, 4th T Block, M.L.A Office",,4631,,
,,,,,Behind Park,,,,
811,South,Jayanagar,168,Pattabhiramnagar,"Jayanagara 4th T Block, 28th Main",,5031,,
,,,,,Park(Bangalore-one Office),,,,
812,South,Jayanagar,168,Pattabhiramnagar,Laxman Rao Boulevard -P Part Park,,7113,,
,,,,,between 27th to 30th Cross Laxman,,,,
,,,,,Rao Boulevard -Q Part Park Between,,,,
,,,,,22nd and 25th Cross Laxman Rao,,,,
,,,,,Boulevard -R Part Park between 25th,,,,
,,,,,and 27th Cross,,,,
813,South,Jayanagar,168,Pattabhiramnagar,"Jayanagar, 4th T Block, Shakthi",,3782,,
,,,,,Ganapathi Temple Opp Park,,,,
814,South,Jayanagar,170,Jayanagar East,"N.A.L Layout, 1st Cross, 2nd Main",,1379,,
,,,,,Road Park,,,,
815,South,Jayanagar,170,Jayanagar East,Nimhan's Colony Park,,1942,,
816,South,Jayanagar,170,Jayanagar East,"N.A.L Layout, 2nd Main Road 4th",,554,,
,,,,,cross Park,,,,
817,South,B.T.M Layout,151,Koramangala,"Koramangala, 7th Block, 80 feet",,2540,,
,,,,,"Road, Rose Garden Park",,,,
818,South,Padmanabhanagar,182,Padmanabhanagar,"R.K.Layoout, 1st Stage Park",,1912,,
819,South,B.T.M Layout,151,Koramangala,"Kormangala, 4th Block,1st 'A"" Cross,",,182,,
,,,,,Atti Maara,"Park Kormangala, Park",,,
,,,,,Opp BBMP Ward Office Park,,,,
,,,,,"Koramanala, 3rd Block, 7th Cross",,,,
,,,,,Reheja Residency Park,,,,
820,South,B.T.M Layout,151,Koramangala,Maintenance of Koramangala 5th,,2155,,
,,,,,Block Ward Office Opp Park,,,,
821,South,B.T.M Layout,151,Koramangala,"Koramangala, 5th Block Park Opp",,1983,,
,,,,,Ganesha Temple park,,,,
822,South,B.T.M Layout,151,Koramangala,"Koramangala, 6th Block, 7th Cross,",,2196,,
,,,,,(Subramanya Temple) Park,,,,
823,South,B.T.M Layout,151,Koramangala,"Kormangala, 5th Block, Opp",,532,,
,,,,,Raghavendra School vacant place,,,,
824,South,B.T.M Layout,151,Koramangala,"Koramangala, 3rd ""j"" Block, 4th cross",,972,,
,,,,,road park,,,,
825,South,B.T.M Layout,152,Sudduguntepalya,Jogi Colony Park,,1890,,
826,South,B.T.M Layout,152,Sudduguntepalya,"Hosur Main Road, Madivala Under",,984,,
,,,,,Pass Opp Park(Shanimahtma Temple,,,,
,,,,,,Opp),,,
827,South,Vijaynagar,132,Attiguppe,maintainence of,Basaveshwara Park,693.5,,
828,South,Vijaynagar,132,Attiguppe,"maintainence of Binny Layout, Part-1",,758.82,,
829,South,B.T.M Layout,152,Sudduguntepalya,Rashtra Kavi Kuvempu Park,,50000,,
,,,,,Suddaguntepalya,,,,
830,South,B.T.M Layout,147,Adugodi,Chamundi Park,,3573,,
831,South,B.T.M Layout,147,Adugodi,Adugodi Police Quarters Prakruthi,,5067,,
,,,,,Vana Park,,,,
832,South,Vijaynagar,132,Attiguppe,Shakthi Ganapathi Temple park BCC,,4140.37,,
,,,,,Layout,,,,
833,South,Vijaynagar,132,Attiguppe,maintainence of Bapuji Layout Park,,4224,,
834,South,Vijaynagar,132,Attiguppe,"Chandra Layout, Income Tax Layout,",,1238.35,,
,,,,,Part-3,,,,
835,South,Vijaynagar,132,Attiguppe,maintainence of,Kailaseshwara Park,561.21,,
836,South,Vijaynagar,132,Attiguppe,BCC Layout Park,,3726,,
837,South,B.T.M Layout,147,Adugodi,"Koramangala, 7th Block, Mangala",,2166,,
,,,,,Kalyana Mantapa,"Park, Police",,,
,,,,,"Quarters, A.C.P Office Near Park,",,,,
,,,,,"Kormangala, 7th Block, 1st Cross,",,,,
,,,,,Triangular Park,,,,
838,South,B.T.M Layout,151,Koramangala,"Kormangala, 1st Block, 80 feet Road",,8591,,
,,,,,(Wipro) Park,,,,
839,South,Basavanagudi,154,Basavanagudi,maintainence of,Bugle Rock Park,17573,,
840,South,B.T.M Layout,147,Adugodi,"Koramangala, 7th Block, Nanjappa",,216,,
,,,,,Block,Park,,,
841,South,B.T.M Layout,172,Madiwala,"B.T.M, 1st Stage, Dollars""s Sector",,1010,,
,,,,,Colony Drainage Next Park,,,,
842,South,B.T.M Layout,172,Madiwala,"B.T.M, 1st Stage, Vinayaka Layout",,511,,
,,,,,Park 1st and 3rd cross,,,,
843,South,B.T.M Layout,172,Madiwala,Maintenance of B.T.M 1st Stage,,1261,,
,,,,,Dollar's Sector Colony Park,,,,
844,South,B.T.M Layout,172,Madiwala,"BTM Layout, 1st Stage, Madivala",,645,,
,,,,,Thavarekere Ashwath Katte Next to,,,,
,,,,,Government School Park,,,,
845,South,B.T.M Layout,172,Madiwala,"BTM Layout, 1st Stage, Park",,2031,,
,,,,,Between 20th Main Road and 2nd,,,,
,,,,,Cross,(Samparka kendra),,,
846,South,B.T.M Layout,172,Madiwala,"BTM Layout, 1st Stage,",,682,,
,,,,,"Venkateshwara Layout, 2nd and 3rd",,,,
,,,,,"Main Road, 13th Cross Road park",,,,
847,South,B.T.M Layout,173,Jakkasandra,Teacher Colony Park 1st Avenue,,2133,,
,,,,,Road and 4th Main Park,,,,
848,South,B.T.M Layout,173,Jakkasandra,"Teacher's Colony, Between 2nd and",,1353,,
,,,,,3rd main road 6th avenue road park,,,,
849,South,B.T.M Layout,173,Jakkasandra,"Teacher's Colony, 6th Avenue, park",,2154,,
,,,,,Between 4th and 5th Main Road Park,,,,
850,South,B.T.M Layout,173,Jakkasandra,Teacher Colony Park 5th and 6th,,1427,,
,,,,,Main Road Park,,,,
851,South,B.T.M Layout,173,Jakkasandra,"H.S.R, 5th Sector, 4th Cross Park",,1818,,
852,South,B.T.M Layout,173,Jakkasandra,KSRPC Quarters inside Park,,28900,,
,,,,,Jakkasandra,,,,
853,South,B.T.M Layout,172,Madiwala,"B.T.M, 1st Stage, 16th Main Road,",,5480,,
,,,,,Ward Office Park,,,,
854,South,B.T.M Layout,172,Madiwala,"B.T.M, 1st Stage, 16th Main Road,",,5098,,
,,,,,KEB Office Backside Park,,,,
855,South,Padmanabhanagar,167,Yadiyuru,Yediyur lake Park,,16161,,
856,South,B.T.M Layout,148,Ejipura,"Maintenance of S.T.Bed, Children's",,3190,,
,,,,,"Park, Ejipura",,,,
857,South,B.T.M Layout,148,Ejipura,"Koramangala, 1st Block, 7th main",,408,,
,,,,,2nd cross Drainage Park,,,,
858,South,B.T.M Layout,148,Ejipura,Maintenance of Ejipura Samparka,,1551,,
,,,,,Kendra (Ejipura) Park,,,,
859,South,Padmanabhanagar,167,Yadiyuru,Laxman Rao Boulevard -B Part Park,,1508,,
,,,,,"Between 20 & 22nd Cross (Children""s",,,,
,,,,,Park),,,,
860,South,B.T.M Layout,176,BTM Layout,"Kuvempu Park and Play Ground,",,10603,,
,,,,,"B.T.M Layout, 2nd Stage, MICO",,,,
,,,,,Layout,,,,
861,South,B.T.M Layout,176,BTM Layout,"Nandana Vana, B.T.M Layout, 2nd",,10169,,
,,,,,"Stage, MICO Layout Park",,,,
862,South,B.T.M Layout,176,BTM Layout,"N.S.Palya, I.PP, 1st Main Road Park",,6269,,
863,South,B.T.M Layout,176,BTM Layout,B.T.M 2nd Stage S.F.H.S Part-1 (Mini,,2141,,
,,,,,Forest) Park,"and 5th and 6th Cross,",,,
,,,,,"SFHS, Mini Forest Park",,,,
864,South,B.T.M Layout,176,BTM Layout,"B.T.M, 2nd Stage, 26 and 27th Main",,3365,,
,,,,,Road(Shakthi Ganapathi Temple,,,,
,,,,,Opp) Park,,,,
865,South,B.T.M Layout,176,BTM Layout,"B.T.M, 2nd Stage 28th and 29th Main",,3348,,
,,,,,Road Park(Shakthi Ganapathi,,,,
,,,,,Backside) Park,,,,
866,South,B.T.M Layout,176,BTM Layout,K.A.S Colony Park,37th main road,2375,,
867,South,B.T.M Layout,176,BTM Layout,M.E.S College Backside Park (EWS,,3507,,
,,,,,Colony),,,,
868,South,B.T.M Layout,176,BTM Layout,"B.T.M 2nd Stage, Between 26 and 27",,5172,,
,,,,,Main Road Park,,,,
869,South,B.T.M Layout,176,BTM Layout,I.A.S Colony Park,,5969,,
870,South,B.T.M Layout,176,BTM Layout,"BTM Layout, 2nd Stage Ring Road,",,5048,,
,,,,,"45th Cross, BMTC Bus Stand Vacant",,,,
,,,,,Park Place,,,,
871,South,B.T.M Layout,176,BTM Layout,B.T.M layout 2nd stage K.A.S Officers,,364,,
,,,,,Layout 35th main 6th cross,,,,
872,South,B.T.M Layout,176,BTM Layout,"B.T.M Layout, 2nd Stage, Between",,324,,
,,,,,6th and 7th Cross Triangular Park,,,,
873,South,B.T.M Layout,146,Lakkasandra,"Lakkasandra, Between 20th cross,",,63,,
,,,,,"1st main, Bannergatta main Road",,,,
,,,,,Park,,,,
874,South,B.T.M Layout,146,Lakkasandra,"Lakkasandra, Between 1st and 2nd",,90,,
,,,,,"Cross and 1st Main, Bannergatta",,,,
,,,,,main Road Par,,,,
875,South,B.T.M Layout,146,Lakkasandra,"Lakkasandra, Between 2st and 3rd",79,,,
,,,,,"Cross and 1st Main, Bannergatta",,,,
,,,,,main Road Park,,,,
876,South,B.T.M Layout,146,Lakkasandra,"Lakkasandra, Between 3rd and4th",267,,,
,,,,,"Cross and 1st Main, Bannergatta",,,,
,,,,,main Road Park,,,,
877,South,B.T.M Layout,146,Lakkasandra,"Lakkasandra, Between 4th and5th",275,,,
,,,,,"Cross and 1st Main, Bannergatta",,,,
,,,,,main Road Park,,,,
878,South,B.T.M Layout,146,Lakkasandra,"Lakkasandra, Between 5th and 6th",294,,,
,,,,,"Cross and 1st Main, Bannergatta",,,,
,,,,,main Road Park,,,,
879,South,B.T.M Layout,146,Lakkasandra,"Bannergattha Main, Between SWD",1415,,,
,,,,,Drain and Health Centre Park,,,,
880,South,Padmanabhanagar,167,Yadiyuru,Maintenance of Yediur A.K Colony,1477,,,
,,,,,Ambedkar Park,,,,
881,South,Padmanabhanagar,167,Yadiyuru,Lakshman Rao Boulevard Nursery,9708,,,
,,,,,"Portion 4th and 5th main road, S Part",,,,
882,South,Padmanabhanagar,167,Yadiyuru,Laxman Rao Boulevard -A Part Park,1919,,,
,,,,,(Surana College part-1),,,,
883,South,Padmanabhanagar,181,Kumaraswamy,"Isro Layout, Children's Park, 16th &",1500,,,
,,,,Layout,17th Cross Park,,,,
884,South,Padmanabhanagar,167,Yadiyuru,Aane Bande Park,1272,,,
885,South,Padmanabhanagar,167,Yadiyuru,Laxman Rao Boulevard -C-Part Park,7723,,,
,,,,,(Chandavalli Thota Park),,,,
886,South,Padmanabhanagar,181,Kumaraswamy,"Diary Park, 14th Main Road, 19th and",360,,,
,,,,Layout,20th Cross,,,,
887,South,Padmanabhanagar,181,Kumaraswamy,Isro layout childrens play ground and,1457,,,
,,,,Layout,park 1st and 2nd Main Road,,,,
888,South,Padmanabhanagar,181,Kumaraswamy,"Isro Layout, Drainage Park",1282,,,
,,,,Layout,,,,,
889,South,Padmanabhanagar,181,Kumaraswamy,"Kumarswamy Layout, Triangular Park",551,,,
,,,,Layout,between 53rd and 58th main road,,,,
890,South,Padmanabhanagar,181,Kumaraswamy,St.Philomina School Opp Park,1548,,,
,,,,Layout,,,,,
891,East,Hebbal,18,Radhakrishna,80 fite road park,1569,,,
,,,,Temple Ward,,,,,
892,East,Hebbal,18,Radhakrishna,"Judicial Layput, 1St main",1150,,,
,,,,Temple Ward,,,,,
893,East,Hebbal,20,Ganganagar,"1st main road, word offices",1414,,,
894,East,Hebbal,19,Sanjaynagar,Sanjaynagara main road,5002,,,
895,East,Hebbal,19,Sanjaynagar,"k E B Layout, 40 fit Corss Road",2706,,,
896,East,Hebbal,18,Radhakrishna,"Isro main Road, Insidepark",4345,,,
,,,,Temple Ward,,,,,
897,East,Hebbal,18,Radhakrishna,RMV 2nd stage 3rd main road,9829,,,
,,,,Temple Ward,Boleward Park part 1,,,,
898,East,Hebbal,18,Radhakrishna,MLA Layout 1st main road Park,2767,,,
,,,,Temple Ward,,,,,
899,East,Hebbal,18,Radhakrishna,"R M V 2nd stage, 4th A Main road,",1125,,,
,,,,Temple Ward,trangal Park,,,,
900,East,Hebbal,18,Radhakrishna,"Bandea Colony park, geddala halli",1352,,,
,,,,Temple Ward,,,,,
901,East,Hebbal,18,Radhakrishna,"R MV 2nd stage, 3rd main, Buleward",8708,,,
,,,,Temple Ward,park part-2,,,,
902,East,Hebbal,18,Radhakrishna,"R M V 2nd stage, 3rd Main, Major",5234,,,
,,,,Temple Ward,Water Canel Park,,,,
903,East,Hebbal,19,Sanjaynagar,Raghuvana Park Sanjay nagara,,1817,,
904,East,Hebbal,19,Sanjaynagar,Vinayaka Badavane 4th main road,,4688,,
905,East,Hebbal,20,Ganganagar,Sri Sidda vinayaka Badavane !st main,,1960,,
,,,,,,road,,,
906,East,Hebbal,19,Sanjaynagar,"N G E F Badavane, 4th Main Road",,876,,
907,East,Hebbal,20,Ganganagar,Ganganagra Viewers Colony,,5002,,
908,East,Hebbal,20,Ganganagar,,Laxiah Prak,1552,,
909,East,Hebbal,21,Hebbal,"MSH layout, Anand nagar",,305,,
910,East,Hebbal,21,Hebbal,MSH Layout Near SW Drian Anand,,517,,
,,,,,,Nagar,,,
911,East,Hebbal,21,Hebbal,"AmaraJyothi Nagar, Cholanayakana",,2510,,
,,,,,,halli,,,
912,East,Hebbal,21,Hebbal,Anand Nagara ward Oficces Near 5th,,1891,,
,,,,,Corss Anand Nagar,,,,
913,East,Hebbal,46,Jayachamarajendra,Behand,"Adharsha School, 18th",1832,,
,,,,Nagar,"Corss, R t nagar 1st block",,,,
914,East,Hebbal,33,Manorayanapalya,Tagur prak P& T Colony,,2387,,
915,East,Hebbal,46,Jayachamarajendra,,CityZene Park,4075,,
,,,,Nagar,,,,,
916,East,Hebbal,46,Jayachamarajendra,Raja Ramanna Park,,1859,,
,,,,Nagar,,,,,
917,East,Hebbal,46,Jayachamarajendra,Narayanappa block Park,,1435,,
