Sl No.,Zone Name,Assembly,Ward No,Ward Name,Park Name,,Area in,Remarks,
,,Constituency,,,,,(Sq.ft),,
,,,,,,Yelahanka Newtown Park,,,
86,Yelahanka,Yelahanka,3,Attur,Deo Marvel layout 5th Main park,,,0,
,,,,,,,,,
87,Yelahanka,Yelahanka,3,Attur,Deo Marvel layout,,5th Main park,8500,
,,,,,,,,,
88,Yelahanka,Yelahanka,3,Attur,,GKVK Layout Park No 2,,1750,
,,,,,,,,,
89,Yelahanka,Byatarayanapura,5,Jakkur,Near Dwaraka Nagara School Park,,,2000,
,,,,,,,,,
90,Yelahanka,Byatarayanapura,5,Jakkur,Near,Ashrama in Kattigenahalli park,,8200,
,,,,,,,,,
91,Yelahanka,Byatarayanapura,5,Jakkur,,Telecom layout park,,9000,
,,,,,,,,,
92,Yelahanka,Byatarayanapura,5,Jakkur,Prakruthi layout park in Kogilu Road,,,2145,
,,,,,,,,,
93,Yelahanka,Yelahanka,3,Attur,3rd and 4th Cross,,park in MCEHS,2159,
,,,,,,layout,,,
94,Yelahanka,Byatarayanapura,5,Jakkur,Near,Railway Gate,park in MCEHS,4110,
,,,,,,layout,,,
95,Yelahanka,Byatarayanapura,5,Jakkur,Vinfield Layout,,Main Road park,4000,
,,,,,,,,,
96,Yelahanka,Byatarayanapura,5,Jakkur,3rd and 4th Cross in Vinfield layout,,,2800,
,,,,,,park,,,
97,Yelahanka,Byatarayanapura,6,Thanisandra,5th Cross,Shabhari Nagara park,,1500,
,,,,,,Hegade nagara,,,
98,Yelahanka,Byatarayanapura,6,Thanisandra,8th cross,park in MCEHS Layout,,2900,
,,,,,,,,,
99,Yelahanka,Byatarayanapura,7,Byatarayanapura,3rd phase,UAS layout in Jakkuru,,6248,
,,,,,,,,,
100,Yelahanka,Byatarayanapura,7,Byatarayanapura,UAS layout Shivanahalli park in,,,3264,
,,,,,,Jakkuru,,,
101,Yelahanka,Byatarayanapura,7,Byatarayanapura,UAS Layout Narasimhaswamy Road,,,2400,
,,,,,,park in Jakkuru,,,
102,Yelahanka,Byatarayanapura,7,Byatarayanapura,UAS Layout Chandra shekara,,,1500,
,,,,,kabmara road park in Jakkuru,,,,
103,Yelahanka,Byatarayanapura,11,Kuvempunagar,Singapura paradise layout park,,,1000,
,,,,,,,,,
104,Yelahanka,Byatarayanapura,11,Kuvempunagar,Ganesha layout park in M S Palya,,,4000,
,,,,,,,,,
105,Yelahanka,Byatarayanapura,6,Thanisandra,,Rachenahalli park,,2000,
,,,,,,,,,
106,Yelahanka,Byatarayanapura,6,Thanisandra,,Near Chamundi Temple,,1000,
,,,,,Bhuvaneshwari layout park,,in,,
,,,,,,Rachenahalli,,,
107,Yelahanka,Byatarayanapura,8,Kodigehalli,,TATa Nagara park No 02,,3600,
,,,,,,,,,
108,Yelahanka,Byatarayanapura,9,Vidyaranyapura,BEL Layout 6th Block,,park No,4,3140
,,,,,,,,,
109,Yelahanka,Byatarayanapura,9,Vidyaranyapura,Near Govt School,,park in Thindlu,1000,
,,,,,,village,,,
110,Yelahanka,Byatarayanapura,11,Kuvempunagar,,Ramachandrapura park,,3000,
,,,,,,,,,
111,Yelahanka,Byatarayanapura,11,Kuvempunagar,Gutte Vinayaka Temple park,,in,1500,
,,,,,,Kuvempu Nagara,,,
112,Yelahanka,Byatarayanapura,11,Kuvempunagar,Lakkappa layout park in Singapura,,,2000,
,,,,,,Circle,,,
113,Mahadevapura,K.R.Pura,25,Horamavu,,Ambedkar Statue Park,,1711,
,,,,,,,,,
